1, 8463, 6.95, 94.41
0, 8463, 6.95, 94.41
3, 18338, 10131.4, 10213.4
4, 27038, 9420.59, 9502.91
5, 35887, 8345.43, 8427.35
6, 42669, 7533.76, 7616.11
7, 54455, 6684.9, 6766.48
8, 55804, 6502.5, 6583.76
9, 70584, 6326.67, 6408.1
10, 78781, 5781.75, 5863.54
11, 82761, 5490.24, 5571.61
12, 94443, 5105.71, 5187.4
13, 102506, 4822.39, 4904.21
14, 110212, 4561.95, 4643.63
15, 117144, 4340.33, 4421.38
0, 117144, 4340.33, 4421.38
17, 132343, 4393.03, 4473.84
0, 132343, 4393.03, 4473.84
18, 147382, 4423.55, 4504.09
20, 154424, 4313.28, 4393.47
21, 161836, 4220.99, 4301.04
22, 169498, 4144.94, 4224.95
23, 176377, 4058.32, 4137.97
0, 176377, 4058.32, 4137.97
24, 191393, 4122.21, 4201.74
26, 198706, 4061.29, 4140.69
27, 205161, 3985.19, 4064.16
28, 213542, 3942.31, 4021.55
29, 220192, 3881.21, 3960.12
0, 220192, 3881.21, 3960.12
30, 235955, 3971.76, 4050.87
32, 244562, 3932.31, 4011.73
0, 244562, 3932.31, 4011.73
34, 259810, 3982.27, 4061.68
35, 267544, 3939.11, 4018.55
36, 275625, 3906.95, 3986.51
37, 282510, 3860.05, 3939.4
38, 289644, 3816.9, 3896.11
39, 297001, 3780.36, 3859.51
40, 304286, 3746.96, 3826.03
41, 311977, 3715.17, 3794.25
42, 320942, 3695.67, 3775.09
43, 328879, 3671.76, 3751.25
44, 336767, 3648.23, 3727.76
45, 344465, 3622.5, 3702.04
0, 344465, 3622.5, 3702.04
47, 359142, 3668.42, 3747.83
48, 367172, 3644.48, 3723.97
49, 374953, 3623.75, 3703.27
50, 382567, 3601.41, 3680.93
51, 389611, 3575.09, 3654.49
52, 397387, 3553.19, 3632.62
53, 405526, 3535.24, 3614.78
54, 412950, 3514.18, 3593.67
0, 412950, 3514.18, 3593.67
55, 429258, 3584.18, 3663.86
57, 436647, 3563.3, 3642.93
58, 444576, 3545.11, 3624.78
0, 444576, 3545.11, 3624.78
60, 460328, 3598.63, 3678.37
61, 468554, 3583.05, 3662.88
62, 476068, 3566.48, 3646.28
0, 476068, 3566.48, 3646.28
63, 492330, 3623.55, 3703.5
65, 499921, 3604.31, 3684.25
66, 507685, 3590.34, 3670.29
67, 514609, 3571.79, 3651.63
68, 521752, 3554.62, 3634.38
69, 529687, 3539.4, 3619.19
70, 536986, 3523.68, 3603.42
71, 544738, 3509.17, 3588.93
0, 544738, 3509.17, 3588.93
73, 558806, 3541.71, 3621.3
74, 566479, 3526.56, 3606.15
0, 566479, 3526.56, 3606.15
75, 580409, 3550.11, 3629.51
77, 587777, 3532.48, 3611.85
78, 594148, 3513.43, 3592.65
79, 601511, 3498.59, 3577.76
80, 609499, 3488.28, 3567.5
81, 617815, 3478.66, 3557.97
82, 625089, 3464.9, 3544.17
83, 633218, 3456.08, 3535.41
84, 641441, 3447.95, 3527.35
85, 648074, 3431.65, 3510.93
86, 655201, 3418.51, 3497.73
87, 662020, 3405.08, 3484.21
88, 669391, 3393.01, 3472.13
89, 677501, 3385.95, 3465.15
90, 685490, 3378.02, 3457.29
91, 693412, 3368.78, 3448.08
92, 702085, 3364.08, 3443.49
93, 709896, 3353.71, 3433.13
94, 716393, 3340.6, 3419.91
95, 724083, 3332.48, 3411.78
96, 732397, 3327.23, 3406.62
97, 740368, 3319.13, 3398.55
0, 740368, 3319.13, 3398.55
98, 754777, 3340.52, 3419.84
0, 754777, 3340.52, 3419.84
101, 769584, 3372.76, 3452.04
102, 777057, 3363.31, 3442.58
103, 785105, 3355.47, 3434.78
104, 792016, 3343.52, 3422.76
105, 800055, 3335.96, 3415.24
106, 807584, 3327.59, 3406.86
107, 815446, 3318.93, 3398.22
108, 823656, 3313.26, 3392.6
0, 823656, 3313.26, 3392.6
110, 838765, 3340.55, 3419.88
111, 845772, 3331.66, 3410.93
112, 853456, 3323.46, 3402.73
113, 862043, 3318.93, 3398.29
114, 869270, 3309.83, 3389.16
0, 869270, 3309.83, 3389.16
115, 885219, 3339.77, 3419.15
117, 893840, 3335.75, 3415.21
118, 901987, 3328.73, 3408.23
119, 908717, 3318.94, 3398.36
120, 916243, 3310.92, 3390.33
0, 916243, 3310.92, 3390.33
122, 931605, 3337.57, 3416.99
123, 939001, 3329.75, 3409.15
0, 939001, 3329.75, 3409.15
124, 954947, 3358.17, 3437.62
126, 962704, 3352.55, 3432.01
127, 970255, 3344.94, 3424.4
0, 970255, 3344.94, 3424.4
128, 985344, 3367.08, 3446.51
130, 992564, 3358.25, 3437.66
131, 1000123, 3351.65, 3431.05
132, 1007411, 3344.49, 3423.87
133, 1014379, 3336.63, 3415.95
134, 1021248, 3327.68, 3406.94
135, 1028988, 3321.57, 3400.84
136, 1036684, 3314.58, 3393.86
137, 1044262, 3309.16, 3388.45
138, 1052178, 3304.85, 3384.18
139, 1060141, 3299.38, 3378.75
140, 1067671, 3294.99, 3374.37
0, 1067671, 3294.99, 3374.37
142, 1083794, 3326.56, 3406.03
143, 1090299, 3319.07, 3398.48
144, 1097704, 3313.16, 3392.57
145, 1105207, 3307.61, 3387.03
146, 1112117, 3301.12, 3380.51
147, 1119822, 3296.61, 3376.02
148, 1127141, 3290.29, 3369.7
149, 1133620, 3283.01, 3362.35
150, 1141879, 3280.49, 3359.89
151, 1150327, 3276.61, 3356.08
152, 1157352, 3269.97, 3349.42
153, 1165669, 3268.58, 3348.09
0, 1165669, 3268.58, 3348.09
