80,2,7,13,17,20,24,29,36,50,99,403,1,3,6,10,13,16,19,21,23,25,42,0,0,2,4,9,13,17,21,33,79,378,0,0,1,3,6,8,10,12,15,19,29
80,2,9,13,17,20,24,28,38,54,104,381,1,4,6,10,12,13,17,18,23,29,42,0,0,3,6,10,12,16,22,36,81,358,0,0,1,3,4,7,8,11,17,19,29
80,2,7,12,16,19,23,27,34,46,88,449,1,4,6,7,10,12,15,17,23,29,68,0,0,2,4,8,11,15,20,27,70,423,0,0,0,1,3,6,9,11,13,21,57

80,2,8,12,15,18,22,25,30,41,62,182,1,4,7,9,10,12,14,18,21,26,61,0,0,0,1,5,8,11,16,23,43,164,0,0,0,0,3,5,7,10,13,18,53
80,2,6,11,15,18,22,25,31,41,58,198,1,5,7,9,11,12,15,18,21,26,49,0,0,0,0,3,6,11,16,23,39,175,0,0,0,0,3,5,8,11,14,20,39
80,2,9,13,17,20,24,31,40,55,113,497,1,3,6,7,8,10,12,14,17,22,55,0,0,2,6,9,12,16,23,37,90,477,0,0,0,0,0,2,5,7,9,13,44

80,2,6,10,15,15,16,20,21,25,33,82,1,3,5,6,8,10,11,12,15,21,54,0,0,0,0,0,1,3,5,7,13,59,0,0,0,0,0,0,3,5,8,13,42
80,2,7,12,15,17,21,26,34,46,63,135,1,3,5,6,8,10,11,12,15,20,52,0,0,0,1,3,4,12,19,28,45,113,0,0,0,0,0,0,2,4,7,12,40
80,4,8,16,21,23,32,44,55,89,130,265,1,3,5,6,7,9,10,12,13,17,56,0,2,3,10,12,17,26,40,68,112,244,0,0,0,0,0,0,1,3,6,11,43

80,2,9,13,17,21,23,29,36,48,100,476,1,4,7,10,11,12,14,15,19,22,42,0,0,3,6,10,13,17,21,33,80,453,0,0,0,0,3,5,8,9,11,14,31
80,2,8,13,17,20,23,28,36,54,107,468,1,3,6,7,10,10,12,13,15,22,35,0,0,3,6,9,13,16,21,36,87,443,0,0,0,0,1,2,4,5,8,16,26
80,2,9,14,18,21,25,29,38,53,111,461,1,3,4,6,8,10,11,12,15,23,40,0,1,4,7,10,14,17,22,36,92,436,0,0,0,0,0,2,3,5,8,13,28

80,2,7,12,15,19,21,25,31,40,88,785,1,3,6,7,10,11,12,14,18,23,76,0,0,0,2,4,8,12,17,24,67,760,0,0,0,0,0,3,6,8,10,16,64
80,2,8,13,17,20,23,26,32,48,107,795,1,3,6,7,8,10,12,13,17,24,50,0,0,0,3,7,10,14,18,30,82,770,0,0,0,0,0,0,3,7,10,16,37
80,2,9,14,17,21,25,30,38,65,217,712,1,2,5,6,8,10,11,12,16,19,53,0,0,4,6,9,12,17,22,46,195,687,0,0,0,0,0,0,2,4,8,11,40
80,2,7,12,14,17,18,22,24,29,38,53,1,3,5,6,8,10,11,12,15,21,58,0,0,0,0,0,1,3,5,15,21,32,0,0,0,0,0,0,2,4,8,13,45
80,2,6,9,12,14,20,22,23,32,48,129,1,2,4,6,8,9,11,12,16,21,61,0,0,0,0,0,1,4,8,13,29,109,0,0,0,0,0,0,2,4,8,12,48
80,2,7,12,13,16,20,21,22,27,55,125,1,2,5,6,8,9,11,12,15,18,56,0,0,0,0,0,1,6,7,12,40,100,0,0,0,0,0,0,2,4,7,11,44
