20,2619,0.456,6.582,10
40,2728,1.25,7.766,15
60,2684,2.262,8.788,20
80,2743,4.364,10.794,32
100,2742,4.876,11.228,28
120,2845,14.506,21.272,67
140,2818,17.636,24.45,81
160,2737,38.776,45.356,130
180,2687,181.952,188.644,285
200,2780,271.366,278.076,545
220,2652,310.396,316.864,617
240,2764,625.76,632.704,1180
260,2818,640.872,647.83,1253
280,2777,778.874,785.414,1550
300,2789,810.294,816.968,1653
320,2739,884.768,891.616,1616
340,2822,861.436,868.256,1748
360,2805,963.706,970.574,1910
380,2734,1005.26,1011.79,1976
400,2779,1094.12,1101.11,2138
420,2795,1042.98,1049.55,2140
440,2722,1053.05,1059.48,2105
460,2697,1129.07,1135.81,2271
480,2691,1129.44,1136.15,2304
500,2743,1201.58,1208.28,2380
520,2741,1326.51,1333.6,2465
540,2727,1215.58,1222.5,2501
560,2707,1250.71,1257.59,2455
580,2916,1378.5,1385.77,2745
600,2712,1230.8,1237.43,2476
620,2707,1302.35,1309.17,2540
640,2713,1249.79,1256.57,2572
660,2743,1373.64,1380.62,2761
680,2741,1347.8,1354.59,2702
700,2692,1361.56,1368.34,2684
720,2771,1544.81,1552.05,3069
740,2770,1402.41,1409.37,2806
760,2711,1454.28,1460.99,2820
780,2804,1456.59,1463.7,2994
800,2710,1409.35,1416.02,2778
820,2798,1412.58,1419.48,2919
840,2867,1494.91,1501.9,2987
860,2765,1493.62,1500.46,2914
880,2744,1533.7,1540.66,2998
900,2776,1518.67,1525.44,2956
920,2755,1477.24,1484.12,2896
940,2667,1395.11,1401.7,2805
960,2758,1524.48,1531.28,3003
980,2722,1534.27,1541.09,3011
1000,2841,1582.52,1589.65,3127
1020,2725,1506.35,1513.12,3023
1040,2690,1474.74,1481.42,2955
1060,2703,1521.08,1527.85,3011
1080,2651,1518.73,1525.38,2963
1100,2637,1505.43,1512.18,3013
1120,2799,1572.95,1579.93,3142
1140,2745,1551.16,1558.02,3060
1160,2774,1589.06,1595.91,3074
1180,2778,1535.13,1541.97,3077
1200,2775,1597.39,1604.32,3067
1220,2722,1575.1,1581.96,3130
1240,2674,1538.52,1545.28,3105
1260,2731,1584.7,1591.49,3105
1280,2830,1617.88,1624.89,3184
1300,2773,1549.74,1556.54,3096
1320,2842,1651.55,1658.61,3234
1340,2738,1577.64,1584.49,3147
1360,2677,1564.22,1570.79,3071
1380,2788,1590.26,1597.09,3165
1400,2835,1576.8,1583.74,3202
1420,2712,1513.95,1520.6,3063
1440,2727,1628.35,1635.11,3173
1460,2801,1622.52,1629.52,3241
1480,2671,1533.46,1540.09,3095
1500,2688,1585.52,1592.16,3070
1520,2698,1574.34,1581.02,3106
1540,2720,1612.39,1619.08,3107
1560,2717,1598.22,1605.01,3170
1580,2752,1594.02,1600.81,3154
1600,2853,1674.39,1681.5,3327
1620,2750,1596.36,1603.09,3152
1640,2677,1601.5,1608.06,3122
1660,2650,1591.39,1597.95,3129
1680,2817,1678.67,1685.71,3293
1700,2657,1575.25,1581.95,3135
1720,2813,1636.77,1643.61,3243
1740,2723,1599.38,1606.12,3184
1760,2753,1676.88,1683.82,3272
1780,2787,1689.56,1696.61,3318
1800,2712,1633.08,1639.76,3181
1820,2797,1665.69,1672.62,3264
1840,2752,1585.43,1592.13,3187
1860,2657,1626.69,1633.25,3145
1880,2807,1682.42,1689.35,3316
1900,2732,1629.77,1636.57,3229
1920,2693,1571.7,1578.3,3142
1940,2744,1601.95,1608.68,3226
1960,2833,1710.56,1717.48,3332
1980,2708,1580.72,1587.35,3174
2000,2793,1672.05,1678.94,3325
2020,2821,1923.56,1931.51,3802
2040,2713,1834.41,1841.99,3650
2060,2729,1817.18,1824.68,3611
2080,2718,1644.91,1651.66,3250
2100,2760,1685.35,1692.25,3329
2120,2649,1615.27,1621.85,3176
2140,2788,1682.56,1689.42,3309
2160,2839,1713.18,1720.17,3387
2180,2742,1654.08,1660.84,3281
2200,2778,1664.65,1671.46,3293
2220,2705,1623.75,1630.38,3221
2240,2835,1735.15,1742.17,3403
2260,2751,1696.06,1702.93,3324
2280,2825,1694.92,1701.93,3381
2300,2898,1759.83,1767.01,3460
2320,2634,1594.4,1601.05,3207
2340,2610,1649.31,1655.87,3179
2360,2726,1654.29,1661.08,3289
2380,2675,1669.91,1676.72,3298
2400,2756,1722.84,1729.82,3375
2420,2765,1688.28,1695.15,3345
2440,2841,1728.1,1735.08,3410
2460,2857,1780.07,1787.2,3482
2480,2692,1624.46,1631.14,3256
2500,2792,1726.23,1733.21,3391
2520,2695,1641.94,1648.69,3274
2540,2662,1562.37,1568.91,3178
2560,2722,1661.94,1668.7,3303
2580,2661,1613.01,1619.64,3230
2600,2783,1668.59,1675.55,3396
2620,2681,1618.92,1625.67,3281
2640,2714,1617.34,1623.98,3248
2660,2741,1637.49,1644.27,3306
2680,2665,1601.34,1607.97,3217
2700,2714,1630.64,1637.34,3269
2720,2684,1563.86,1570.36,3177
2740,2775,1682.12,1688.82,3275
2760,2690,1585.58,1592.02,3133
2780,2739,1625.68,1632.22,3200
2800,2747,1679.11,1685.86,3312
2820,2711,1697.9,1704.66,3297
2840,2836,1637.68,1644.45,3306
2860,2867,1744.68,1751.62,3401
2880,2872,1722.79,1729.69,3378
2900,2804,1709.48,1716.41,3407
2920,2758,1658.45,1665.12,3269
2940,2669,1598.52,1604.94,3151
2960,2656,1580.04,1586.45,3138
2980,2665,1603.21,1609.67,3153
3000,2842,1742.11,1748.97,3375
3020,2764,1694.27,1701.05,3284
3040,2797,1711.09,1717.96,3389
